HECS/HELP Repayment Thresholds and Rates 2024-2025:

Repayment Income (RI*): Rate
Below $51,550: Nil
$51,550 – $59,518: 1.0%
$59,519 – $63,089: 2.0%
$63,090 – $66,875: 2.5%
$66,876 – $70,888: 3.0%
$70,889 – $75,140: 3.5%
$75,141 – $79,649: 4.0%
$79,650 – $84,429: 4.5%
$84,430 – $89,496: 5.0%
$89,497 – $94,866: 5.5%
$94,867 – $100,560: 6.0%
$100,561 – $106,593: 6.5%
$106,594 – $113,000: 7.0%
$113,001 – $119,801: 7.5%
$119,802 – $127,032: 8.0%
$127,033 – $134,724: 8.5%
$134,725 – $142,893: 9.0%
$142,894 – $151,573: 9.5%
$151,574 and above: 10.0%

* Repayment Income (RI) = Taxable Income + Reportable Fringe Benefits + Reportable Super Contributions + Total Investment Loss
